Grade Level Range,Math Topic,Specific Objective,Written Story,Video,Lesson Plan,BWE Topic
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-repeated-addition"",""Repeated addition"")","=HYPERLINK(""https://drive.google.com/open?id=1wL35gk_DBkcvdRTDjJS7rDKLczbbXl2Xpu1lZlc3Zhg"",""I am also Mama"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/13f4WiwvJa5HBIEeG3v1SxqhCGm9j0aFOtdvX4yO93x0/edit?usp=sharing"",""Positive Problem Solving"")",Leadership
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-repeated-addition"",""Repeated addition"")","=HYPERLINK(""https://drive.google.com/open?id=1tN08GhplYkCEAe7036pji0Y3TAZEKSk0CZcWQiPGkXg"",""Latasha & the Power of Self Expression"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1rkHPyy1cG2al5OIKZN3kpbKMWOhcoAGSE7DU5k_4sws/edit?usp=sharing"",""Self-expression"")","Humanity, storytelling"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-ones-tens"",""Adding 1s and 10s"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1Tc9AoTwsXzClmp7BAWHCOcUIDpEAxOfoCNug71bJoX4/edit?usp=sharing"",""Shruti is Inspired"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ucWxQ0FhJPIz0DrE2bIWKIKoI_UT5XB5dQQyklD_3DM/edit?usp=sharing"",""Imagining Ideas"")","Health, stuff"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-ones-tens"",""Adding 1s and 10s"")","=HYPERLINK(""https://drive.google.com/open?id=1oZpAYUCWYgYZQKR7DepAooORgZKGp1Bfa15bExrPvbg"",""My Cattle are my Bank Account"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1_jLFXlv-qn10ucolJkrRLtYY9ykNns1q99NE_1qpqBA/edit?usp=sharing"",""Law & Order"")","Humanity, Universe"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-sub-ones-tens"",""Subtracting 1s and 10s"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1Tc9AoTwsXzClmp7BAWHCOcUIDpEAxOfoCNug71bJoX4/edit?usp=sharing"",""Shruti is Inspired"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ucWxQ0FhJPIz0DrE2bIWKIKoI_UT5XB5dQQyklD_3DM/edit?usp=sharing"",""Imagining Ideas"")","Health, stuff"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-sub-ones-tens"",""Subtracting 1s and 10s"")","=HYPERLINK(""https://drive.google.com/open?id=153uDT8VAbZeLPG3N02S4rDOw1O7j5Sod1a1mfEAskFQ"",""I am Alex"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1c5EAM96eH4ugZWKnw_QI3nktOZVixyrO_-e7WnCYFRQ/edit?usp=sharing"",""Where Things Come From"")",Food
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-two-dig-intro"",""Intro to addition with 2-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=10OA8OrX2vjPJa12hpwI2-tsUoxxN3N98FRvgpC51_Tk"",""I am Ketut"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://drive.google.com/open?id=1Li0r4F6iTp1MyQg6zqejZWQUqqR4C-kXWaHBbKhAs3Q"",""Hard Work"")","Humanity, Money, Leadership"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-two-dig-intro"",""Intro to addition with 2-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=1tN08GhplYkCEAe7036pji0Y3TAZEKSk0CZcWQiPGkXg"",""Latasha & the Power of Self Expression"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1rkHPyy1cG2al5OIKZN3kpbKMWOhcoAGSE7DU5k_4sws/edit?usp=sharing"",""Self-expression"")","Humanity, storytelling"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-sub-two-dig-intro"",""Intro to subtraction with 2-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=10OA8OrX2vjPJa12hpwI2-tsUoxxN3N98FRvgpC51_Tk"",""I am Ketut"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://drive.google.com/open?id=1Li0r4F6iTp1MyQg6zqejZWQUqqR4C-kXWaHBbKhAs3Q"",""Hard Work"")","Humanity, Money, Leadership"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-math-strategies-for-adding-within-100"",""Strategies for adding and subtracting within 100"")","=HYPERLINK(""https://drive.google.com/open?id=1wL35gk_DBkcvdRTDjJS7rDKLczbbXl2Xpu1lZlc3Zhg"",""I am also Mama"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/13f4WiwvJa5HBIEeG3v1SxqhCGm9j0aFOtdvX4yO93x0/edit?usp=sharing"",""Positive Problem Solving"")",Leadership
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-math-strategies-for-adding-within-100"",""Strategies for adding and subtracting within 100"")","=HYPERLINK(""https://drive.google.com/open?id=1J1KBZ9ebeqJIDwqUKkp59IbvFXWXA-bIT27uJC5F2aI"",""Alex's Family Role"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1WUoCjN-bW-OQh_a5x4VTa52OrFPMYC9oCcPCzS-BdGw/edit?usp=sharing"",""Unexpected Teachers"")",Teaching
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-100"",""Addition within 100"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1Tc9AoTwsXzClmp7BAWHCOcUIDpEAxOfoCNug71bJoX4/edit?usp=sharing"",""Shruti is Inspired"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ucWxQ0FhJPIz0DrE2bIWKIKoI_UT5XB5dQQyklD_3DM/edit?usp=sharing"",""Imagining Ideas"")","Health, stuff"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-100"",""Addition within 100"")","=HYPERLINK(""https://drive.google.com/open?id=1oZpAYUCWYgYZQKR7DepAooORgZKGp1Bfa15bExrPvbg"",""My Cattle are my Bank Account"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1_jLFXlv-qn10ucolJkrRLtYY9ykNns1q99NE_1qpqBA/edit?usp=sharing"",""Law & Order"")","Humanity, Universe"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-subtraction-within-100"",""Subtraction within 100"")","=HYPERLINK(""https://drive.google.com/open?id=153uDT8VAbZeLPG3N02S4rDOw1O7j5Sod1a1mfEAskFQ"",""I am Alex"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1c5EAM96eH4ugZWKnw_QI3nktOZVixyrO_-e7WnCYFRQ/edit?usp=sharing"",""Where Things Come From"")",Food
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-sub-100-word-problems"",""Word problems within 100"")","=HYPERLINK(""https://drive.google.com/open?id=13418RnNc-aSjq-BbOE3Ljd68RY4IA43OpOmtEuRMqzg"",""I am Latasha"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1hM_XjJYYt3NwB8ctv2nLNdXuMiITRaHDIYW0O5ToZUQ/edit?usp=sharing"",""Best Me"")","Humanity, Leadership"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-sub-100-word-problems"",""Word problems within 100"")","=HYPERLINK(""https://drive.google.com/open?id=1J1KBZ9ebeqJIDwqUKkp59IbvFXWXA-bIT27uJC5F2aI"",""Alex's Family Role"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1WUoCjN-bW-OQh_a5x4VTa52OrFPMYC9oCcPCzS-BdGw/edit?usp=sharing"",""Unexpected Teachers"")",Teaching
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-more-fewer-100"",""Word problems with """"more"""" and """"fewer"""""")","=HYPERLINK(""https://drive.google.com/open?id=1tN08GhplYkCEAe7036pji0Y3TAZEKSk0CZcWQiPGkXg"",""Latasha & the Power of Self Expression"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1rkHPyy1cG2al5OIKZN3kpbKMWOhcoAGSE7DU5k_4sws/edit?usp=sharing"",""Self-expression"")","Humanity, Storytelling"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-more-fewer-100"",""Word problems with """"more"""" and """"fewer"""""")","=HYPERLINK(""https://drive.google.com/open?id=1cSIRaWEQDc3GfCI5DIB40PXkR6keL4bOVJfiXBaSni8"",""Ashraf Saves Lives"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1jbJzR6BEgfsX5lb2EMC4hQl86OUZk7xR4ho8KrTy-yI/edit?usp=sharing"",""Live Saver"")",Health
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-skip-counting"",""Skip counting"")","=HYPERLINK(""https://drive.google.com/open?id=1wL35gk_DBkcvdRTDjJS7rDKLczbbXl2Xpu1lZlc3Zhg"",""I am also Mama"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/13f4WiwvJa5HBIEeG3v1SxqhCGm9j0aFOtdvX4yO93x0/edit?usp=sharing"",""Positive Problem Solving"")",Leadership
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-skip-counting"",""Skip counting"")","=HYPERLINK(""https://docs.google.com/document/d/1Od3tZKO9o5yKdgjCTIfaWrjU4PBgA9EjXEqY5AcACbg/edit?usp=sharing"",""I am Shruti"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/document/d/1TGJJD_XI0Q7VIuRjlT9wRuTRSjs4m7NGJI9eGxllDO0/edit?usp=sharing"",""Have to, Want to"")","Universe, humanity"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-skip-counting"",""Skip counting"")","=HYPERLINK(""https://drive.google.com/open?id=1cSIRaWEQDc3GfCI5DIB40PXkR6keL4bOVJfiXBaSni8"",""Ashraf Saves Lives"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1jbJzR6BEgfsX5lb2EMC4hQl86OUZk7xR4ho8KrTy-yI/edit?usp=sharing"",""Live Saver"")",Health
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-sub-miss-value-prob"",""Addition and subtraction missing value problems"")","=HYPERLINK(""https://drive.google.com/open?id=1wL35gk_DBkcvdRTDjJS7rDKLczbbXl2Xpu1lZlc3Zhg"",""I am also Mama"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/13f4WiwvJa5HBIEeG3v1SxqhCGm9j0aFOtdvX4yO93x0/edit?usp=sharing"",""Positive Problem Solving"")",Leadership
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100"",""Addition and subtraction within 100"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-100#cc-2nd-add-sub-miss-value-prob"",""Addition and subtraction missing value problems"")","=HYPERLINK(""https://drive.google.com/open?id=1cSIRaWEQDc3GfCI5DIB40PXkR6keL4bOVJfiXBaSni8"",""Ashraf Saves Lives"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1jbJzR6BEgfsX5lb2EMC4hQl86OUZk7xR4ho8KrTy-yI/edit?usp=sharing"",""Live Saver"")",Health
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-add-ones-tens-hundreds"",""Adding 1s, 10s and 100s"")","=HYPERLINK(""https://drive.google.com/open?id=1cSIRaWEQDc3GfCI5DIB40PXkR6keL4bOVJfiXBaSni8"",""Ashraf Saves Lives"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1jbJzR6BEgfsX5lb2EMC4hQl86OUZk7xR4ho8KrTy-yI/edit?usp=sharing"",""Live Saver"")",Health
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-add-ones-tens-hundreds"",""Adding 1s, 10s and 100s"")","=HYPERLINK(""https://drive.google.com/open?id=1ec_FNhZLOnDzqP5ep8BXh_atgbqqNMOphZ3GGhOJx5c"",""I am Ashraf"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1sVyk86c9l6Bo-pngTawOSFFCl8IYaQ3o8cADovlG2sE/edit?usp=sharing"",""Jobs Jobs Jobs"")","Health, Money"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-sub-ones-tens-hundreds"",""Subtracting 1s, 10s and 100s"")","=HYPERLINK(""https://drive.google.com/open?id=1wL35gk_DBkcvdRTDjJS7rDKLczbbXl2Xpu1lZlc3Zhg"",""I am also Mama"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/13f4WiwvJa5HBIEeG3v1SxqhCGm9j0aFOtdvX4yO93x0/edit?usp=sharing"",""Positive Problem Solving"")",Leadership
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-sub-ones-tens-hundreds"",""Subtracting 1s, 10s and 100s"")","=HYPERLINK(""https://drive.google.com/open?id=159pSUJ5NMVPFosQMRkm5sseNVMvuE5lCayCl3269P6o"",""Latasha on Differences in Background"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1MhS6ZOBMIT-iJEB0FoMqvS8hHVmBW1BKW2M2Nbyjj00/edit?usp=sharing"",""Speaking of Home"")","Storytelling, Humanity"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-sub-ones-tens-hundreds"",""Subtracting 1s, 10s and 100s"")","=HYPERLINK(""https://drive.google.com/open?id=1ec_FNhZLOnDzqP5ep8BXh_atgbqqNMOphZ3GGhOJx5c"",""I am Ashraf"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1sVyk86c9l6Bo-pngTawOSFFCl8IYaQ3o8cADovlG2sE/edit?usp=sharing"",""Jobs Jobs Jobs"")","Health, Money"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-strategies-for-adding-two-and-three-digit-numbers"",""Strategies for adding 2- and 3-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=13418RnNc-aSjq-BbOE3Ljd68RY4IA43OpOmtEuRMqzg"",""I am Latasha"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1hM_XjJYYt3NwB8ctv2nLNdXuMiITRaHDIYW0O5ToZUQ/edit?usp=sharing"",""Best Me"")","Humanity, Leadership"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000"",""Addition and subtraction within 1000"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000#cc-2nd-strategies-for-adding-two-and-three-digit-numbers"",""Strategies for adding 2- and 3-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=159pSUJ5NMVPFosQMRkm5sseNVMvuE5lCayCl3269P6o"",""Latasha on Differences in Background"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1MhS6ZOBMIT-iJEB0FoMqvS8hHVmBW1BKW2M2Nbyjj00/edit?usp=sharing"",""Speaking of Home"")","Storytelling, Humanity"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-compare-estimate-length"",""Comparing and estimating length"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ZA-5KhIhopndsmGEGGqgbs49UXvbxSUJ6X4YgMDe0ZI/edit?usp=sharing"",""Shruti the Inventor"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/document/d/1exoU0B0qMgQX-tYobOdWmtz-NhJwgV-tP_XnQArsqY0/edit?usp=sharing"",""Keep Going"")",Technology
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-length-word-problems"",""Length word problem"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ZA-5KhIhopndsmGEGGqgbs49UXvbxSUJ6X4YgMDe0ZI/edit?usp=sharing"",""Shruti the Inventor"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/document/d/1exoU0B0qMgQX-tYobOdWmtz-NhJwgV-tP_XnQArsqY0/edit?usp=sharing"",""Keep Going"")",Technology
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://drive.google.com/open?id=1XpsYpsJrYU6ydIMmxoybmMOf7zU_y5ZZsS93CMXjwFo"",""Ketut on Teamwork"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/1Gak_XB410MBlHzkONQl56_-y8_MqitnckwI3GfKRU-U/edit?usp=sharing"",""Persistent Cashews"")",Food
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://drive.google.com/open?id=1ec_FNhZLOnDzqP5ep8BXh_atgbqqNMOphZ3GGhOJx5c"",""I am Ashraf"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1sVyk86c9l6Bo-pngTawOSFFCl8IYaQ3o8cADovlG2sE/edit?usp=sharing"",""Jobs Jobs Jobs"")","Health, money "
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://drive.google.com/open?id=1XpsYpsJrYU6ydIMmxoybmMOf7zU_y5ZZsS93CMXjwFo"",""Ketut on Teamwork"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/1Gak_XB410MBlHzkONQl56_-y8_MqitnckwI3GfKRU-U/edit?usp=sharing"",""Persistent Cashews"")",Food
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://docs.google.com/a/reweave.org/document/d/1ZA-5KhIhopndsmGEGGqgbs49UXvbxSUJ6X4YgMDe0ZI/edit?usp=sharing"",""Shruti the Inventor"")","=HYPERLINK(""https://vimeo.com/160262469"",""I am Shruti"")","=HYPERLINK(""https://docs.google.com/document/d/1exoU0B0qMgQX-tYobOdWmtz-NhJwgV-tP_XnQArsqY0/edit?usp=sharing"",""Keep Going"")",Technology
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-measurement-data#cc-2nd-line-plots"",""Line plots"")","=HYPERLINK(""https://drive.google.com/open?id=1XpsYpsJrYU6ydIMmxoybmMOf7zU_y5ZZsS93CMXjwFo"",""Ketut on Teamwork"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/1Gak_XB410MBlHzkONQl56_-y8_MqitnckwI3GfKRU-U/edit?usp=sharing"",""Persistent Cashews"")",Food
